sample	condition
H2O2_input_1	H2O2_input
H2O2_input_2	H2O2_input
H2O2_input_3 H2O2_input
Normal_input_1 Normal_input
Normal_input_2 Normal_input
Normal_input_3 Normal_input
Stat_input_1	Stat_input
Stat_input_2	Stat_input
Stat_input_3 Stat_input
Heat_input_1	Heat_input
Heat_input_2	Heat_input
Heat_input_3 Heat_input
