sample	condition
H2O2_IP_1	H2O2_ip
H2O2_IP_2	H2O2_ip
H2O2_IP_3 H2O2_ip
Normal_IP_1 Normal_ip
Normal_IP_2 Normal_ip
Normal_IP_3 Normal_ip
Stat_IP_1	Stat_ip
Stat_IP_2	Stat_ip
Stat_IP_3 Stat_ip
Heat_IP_1	Heat_ip
Heat_IP_2	Heat_ip
Heat_IP_3 Heat_ip
